year,ssp1,ssp2,ssp3,ssp4,ssp5
2035,290.5057174,227.4748219,218.46979,203.1930295,275.3020864
2036,300.8178247,233.4538689,222.1301349,208.3669943,287.1964631
2037,311.1217611,239.4296814,225.7904447,213.5384198,299.0785885
2038,321.4183495,245.4026073,229.45082,218.7076043,310.9494778
2039,331.708201,251.3728429,233.1112504,223.8747246,322.8099385
2040,341.9920744,257.3406913,236.7718282,229.040056,334.660928
2041,352.5681407,263.6783177,239.6400218,233.8072211,348.4337748
2042,363.1386326,270.0130515,242.5098521,238.5736948,362.1938935
2043,373.7037711,276.344819,245.3810013,243.3393614,375.9417929
2044,384.2636562,282.6734946,248.2531309,248.1040657,389.6778597
2045,394.8182475,288.9988764,251.1258713,252.8675969,403.4023146
2046,405.3673107,295.3206604,253.9987886,257.6296539,417.1151325
2047,415.9109192,301.6388392,256.8716259,262.3901285,430.8165921
2048,426.4493024,307.9534963,259.7442312,267.1490156,444.5071181
2049,436.9831574,314.2650142,262.6167107,271.9065874,458.1876519
2050,447.513531,320.5740108,265.4893567,276.6633217,471.8595337
2051,457.7338115,327.4091137,267.9517691,281.155926,487.5861555
2052,467.9525042,334.2414779,270.4151763,285.6486928,503.300995
2053,478.1697296,341.0712749,272.879388,290.1415988,519.0046414
2054,488.3854687,347.8985397,275.3441838,294.6345484,534.6974894
2055,498.5993824,354.7230558,277.8092162,299.1272759,550.3794895
2056,508.8109254,361.5444408,280.2740607,303.6194171,566.0502667
2057,519.0197847,368.3624717,282.7384207,308.1107673,581.7096883
2058,529.2262927,375.1773864,285.2023217,312.6014742,597.3584248
2059,539.4306909,381.9893578,287.665759,317.0916286,612.9970131
2060,549.6332564,388.7985843,290.1287547,321.5813397,628.6260197
2061,559.6111744,396.5788016,292.8055558,326.0709601,647.1253414
2062,569.5888055,404.3553879,295.4819208,330.5606886,665.6107563
2063,579.5662206,412.1285325,298.1578313,335.0505529,684.0829382
2064,589.5432031,419.898197,300.8331387,339.5404198,702.5421171
2065,599.5194694,427.6642772,303.5076657,344.0301189,720.9883714
2066,609.4945311,435.4264948,306.1811412,348.5193708,739.4214139
2067,619.4675536,443.1842865,308.8531353,353.0077184,757.8403697
2068,629.438102,450.937377,311.5234057,357.4949172,776.2448878
2069,639.4063664,458.685967,314.192002,361.9810571,794.6355279
2070,649.3731024,466.4307002,316.8592419,366.4665292,813.0137196
2071,658.2797626,474.9080445,319.6840032,370.8204174,833.4319851
2072,667.1881339,483.3814988,322.5077553,375.1745786,853.8362328
2073,676.098087,491.8512137,325.3304771,379.5289954,874.2270168
2074,685.0093763,500.3172198,328.1520884,383.8835784,894.6046405
2075,693.9218798,508.7796249,330.9725638,388.2382984,914.9695511
2076,702.8353217,517.2383859,333.7917952,392.5930379,935.3218668
2077,711.7493973,525.6934097,336.6096434,396.9476626,955.6615776
2078,720.6634947,534.1443188,339.4258193,401.3018686,975.9880574
2079,729.5768189,542.5905524,342.2399399,405.6552491,996.3002657
2080,738.488845,551.0317541,345.0517497,410.0075383,1016.597564
2081,746.3307778,560.2585615,348.0940105,414.2275686,1039.061951
2082,754.1734621,569.4794546,351.1337436,418.4469249,1061.508117
2083,762.0172166,578.6949775,354.1711589,422.6658462,1083.937424
2084,769.8625388,587.9058293,357.2065665,426.8846623,1106.351583
2085,777.7096004,597.1124059,360.2401108,431.1035196,1128.751655
2086,785.5587984,606.3152993,363.2720529,435.3226836,1151.139131
2087,793.4099939,615.5145899,366.3023827,439.5421269,1173.514396
2088,801.2626028,624.7099118,369.3308433,443.7615707,1195.876854
2089,809.1159963,633.900825,372.3571378,447.9807038,1218.225723
2090,816.9691822,643.0865031,375.3807616,452.1990095,1240.559342
2091,823.3832261,653.0904896,378.8379198,456.6779847,1264.91583
2092,829.7977651,663.0866312,382.2909002,461.1550367,1289.250524
2093,836.2125561,673.0749789,385.7396311,465.6301534,1313.563702
2094,842.6288209,683.0570539,389.1848556,470.104128,1337.858953
2095,849.0478029,693.034431,392.6273535,474.5777678,1362.140014
