year,ssp1,ssp2,ssp3,ssp4,ssp5
2302,6000.026166,8000.028681,13999.95472,9000.00821,7000.012106
2303,6000.024857,8000.027247,13999.95698,9000.007799,7000.011501
2304,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2305,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2306,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2307,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2308,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2309,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2310,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2311,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2312,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2313,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2314,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2315,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2316,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2317,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2318,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2319,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2320,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2321,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2322,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2323,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2324,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2325,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2326,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2327,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2328,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2329,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2330,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2331,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2332,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2333,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2334,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2335,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2336,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2337,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2338,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2339,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2340,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2341,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2342,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2343,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2344,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2345,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2346,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2347,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2348,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2349,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2350,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2351,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2352,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2353,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2354,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2355,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2356,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2357,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2358,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2359,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2360,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2361,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2362,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2363,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2364,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2365,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2366,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2367,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2368,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2369,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2370,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2371,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2372,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2373,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2374,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2375,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2376,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2377,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2378,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2379,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2380,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2381,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2382,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
2383,6000.023614,8000.025885,13999.95913,9000.007409,7000.010926
