year,ssp1,ssp2,ssp3,ssp4,ssp5
2167,33.0067,27.7142,9.31778,16.1652,51.2922
2168,33.0866,27.8031,9.3219,16.193,51.4543
2169,33.165,27.8904,9.32595,16.2203,51.6136
2170,33.242,27.9762,9.32993,16.2471,51.7702
2171,33.3176,28.0605,9.33385,16.2734,51.924
2172,33.3918,28.1433,9.3377,16.2993,52.0753
2173,33.4647,28.2247,9.34149,16.3246,52.2239
2174,33.5362,28.3047,9.34521,16.3495,52.3699
2175,33.6064,28.3832,9.34887,16.3739,52.5134
2176,33.6753,28.4604,9.35246,16.3978,52.6544
2177,33.7429,28.5362,9.356,16.4213,52.7929
2178,33.8093,28.6107,9.35947,16.4444,52.929
2179,33.8744,28.6839,9.36289,16.467,53.0627
2180,33.9384,28.7558,9.36624,16.4893,53.1941
2181,34.0011,28.8264,9.36954,16.5111,53.3231
2182,34.0627,28.8957,9.37278,16.5324,53.4499
2183,34.1232,28.9638,9.37596,16.5534,53.5744
2184,34.1825,29.0307,9.37909,16.574,53.6966
2185,34.2407,29.0964,9.38216,16.5942,53.8168
2186,34.2979,29.1609,9.38517,16.6141,53.9347
2187,34.3539,29.2242,9.38813,16.6335,54.0506
2188,34.4089,29.2864,9.39104,16.6526,54.1643
2189,34.4629,29.3475,9.3939,16.6713,54.276
2190,34.5159,29.4075,9.39671,16.6897,54.3858
2191,34.5679,29.4664,9.39946,16.7077,54.4935
2192,34.6189,29.5242,9.40217,16.7254,54.5993
2193,34.6689,29.5809,9.40482,16.7428,54.7031
2194,34.718,29.6366,9.40743,16.7598,54.8051
2195,34.7662,29.6914,9.40999,16.7765,54.9052
2196,34.8135,29.7451,9.41251,16.7929,55.0035
2197,34.8599,29.7978,9.41498,16.8089,55.1
2198,34.9054,29.8495,9.4174,16.8247,55.1948
2199,34.95,29.9003,9.41978,16.8402,55.2878
2200,34.9938,29.9502,9.42211,16.8553,55.3791
2201,35.0368,29.9991,9.4244,16.8702,55.4687
2202,35.0789,30.0472,9.42665,16.8848,55.5567
2203,35.1203,30.0943,9.42886,16.8991,55.643
2204,35.1609,30.1406,9.43102,16.9132,55.7278
2205,35.2007,30.186,9.43315,16.9269,55.811
2206,35.2397,30.2306,9.43523,16.9405,55.8926
2207,35.278,30.2744,9.43728,16.9537,55.9728
2208,35.3156,30.3173,9.43929,16.9667,56.0514
2209,35.3524,30.3595,9.44126,16.9795,56.1286
2210,35.3886,30.4008,9.4432,16.992,56.2044
2211,35.4241,30.4414,9.44509,17.0042,56.2787
2212,35.4589,30.4812,9.44696,17.0163,56.3517
2213,35.493,30.5203,9.44878,17.0281,56.4233
2214,35.5265,30.5586,9.45058,17.0396,56.4936
2215,35.5593,30.5962,9.45233,17.051,56.5625
2216,35.5915,30.6332,9.45406,17.0621,56.6302
2217,35.6231,30.6694,9.45575,17.073,56.6965
2218,35.6541,30.7049,9.45741,17.0837,56.7617
2219,35.6845,30.7398,9.45904,17.0942,56.8256
2220,35.7143,30.774,9.46064,17.1045,56.8883
2221,35.7435,30.8076,9.46221,17.1146,56.9498
2222,35.7722,30.8405,9.46374,17.1245,57.0102
2223,35.8003,30.8728,9.46525,17.1343,57.0694
2224,35.8279,30.9045,9.46673,17.1438,57.1275
2225,35.8549,30.9356,9.46818,17.1531,57.1845
2226,35.8814,30.9661,9.4696,17.1623,57.2405
2227,35.9075,30.9961,9.471,17.1713,57.2953
2228,35.933,31.0254,9.47237,17.1801,57.3492
2229,35.958,31.0542,9.47371,17.1887,57.402
2230,35.9826,31.0825,9.47503,17.1972,57.4538
2231,36.0066,31.1102,9.47632,17.2055,57.5046
2232,36.0302,31.1374,9.47759,17.2136,57.5545
2233,36.0534,31.1641,9.47883,17.2216,57.6034
2234,36.0761,31.1902,9.48005,17.2294,57.6513
2235,36.0983,31.2159,9.48124,17.2371,57.6984
2236,36.1202,31.241,9.48242,17.2447,57.7446
2237,36.1416,31.2657,9.48356,17.252,57.7898
2238,36.1626,31.29,9.48469,17.2593,57.8342
2239,36.1832,31.3137,9.4858,17.2664,57.8778
2240,36.2034,31.337,9.48688,17.2733,57.9205
2241,36.2232,31.3599,9.48794,17.2802,57.9624
2242,36.2426,31.3823,9.48899,17.2869,58.0036
2243,36.2616,31.4043,9.49001,17.2934,58.0439
2244,36.2803,31.4258,9.49101,17.2999,58.0834
2245,36.2986,31.447,9.49199,17.3062,58.1222
2246,36.3165,31.4677,9.49296,17.3124,58.1602
2247,36.3342,31.488,9.4939,17.3184,58.1976
2248,36.3514,31.508,9.49483,17.3244,58.2341
2249,36.3683,31.5276,9.49573,17.3302,58.27
2250,36.3849,31.5467,9.49663,17.3359,58.3052
2251,36.4012,31.5656,9.4975,17.3415,58.3397
2252,36.4172,31.584,9.49835,17.347,58.3736
2253,36.4328,31.6021,9.49919,17.3524,58.4068
2254,36.4482,31.6199,9.50002,17.3577,58.4394
2255,36.4632,31.6373,9.50082,17.3629,58.4713
2256,36.4779,31.6543,9.50162,17.368,58.5026
2257,36.4924,31.6711,9.50239,17.373,58.5333
2258,36.5066,31.6875,9.50315,17.3778,58.5634
2259,36.5205,31.7036,9.5039,17.3826,58.593
2260,36.5341,31.7194,9.50463,17.3873,58.6219
2261,36.5475,31.7349,9.50535,17.3919,58.6503
2262,36.5606,31.75,9.50605,17.3964,58.6782
2263,36.5735,31.7649,9.50674,17.4009,58.7055
2264,36.5861,31.7795,9.50742,17.4052,58.7322
2265,36.5984,31.7938,9.50808,17.4094,58.7585
2266,36.6105,31.8079,9.50873,17.4136,58.7843
2267,36.6224,31.8216,9.50936,17.4177,58.8095
2268,36.634,31.8351,9.50999,17.4217,58.8343
2269,36.6455,31.8484,9.5106,17.4256,58.8585
2270,36.6566,31.8613,9.5112,17.4295,58.8824
2271,36.6676,31.8741,9.51179,17.4333,58.9057
2272,36.6784,31.8865,9.51237,17.437,58.9286
2273,36.6889,31.8988,9.51293,17.4406,58.951
2274,36.6993,31.9108,9.51349,17.4442,58.973
2275,36.7094,31.9225,9.51403,17.4476,58.9946
2276,36.7194,31.934,9.51456,17.4511,59.0158
2277,36.7291,31.9454,9.51508,17.4544,59.0365
2278,36.7387,31.9564,9.5156,17.4577,59.0569
2279,36.748,31.9673,9.5161,17.4609,59.0768
2280,36.7572,31.978,9.51659,17.4641,59.0964
2281,36.7662,31.9884,9.51707,17.4672,59.1155
2282,36.775,31.9987,9.51754,17.4702,59.1343
2283,36.7837,32.0087,9.51801,17.4732,59.1528
2284,36.7922,32.0186,9.51846,17.4761,59.1708
2285,36.8005,32.0282,9.51891,17.479,59.1886
2286,36.8087,32.0377,9.51935,17.4818,59.2059
2287,36.8167,32.047,9.51977,17.4845,59.223
2288,36.8245,32.0561,9.52019,17.4872,59.2397
2289,36.8322,32.065,9.5206,17.4899,59.2561
2290,36.8397,32.0737,9.52101,17.4925,59.2721
2291,36.8471,32.0823,9.5214,17.495,59.2879
2292,36.8543,32.0907,9.52179,17.4975,59.3033
2293,36.8614,32.099,9.52217,17.4999,59.3184
2294,36.8684,32.1071,9.52254,17.5023,59.3333
2295,36.8752,32.115,9.52291,17.5047,59.3478
2296,36.8819,32.1228,9.52327,17.507,59.3621
2297,36.8885,32.1304,9.52362,17.5092,59.376
2298,36.8949,32.1379,9.52396,17.5114,59.3897
2299,36.9012,32.1452,9.5243,17.5136,59.4032
2300,36.9074,32.1524,9.52463,17.5157,59.4164
2301,36.9134,32.1594,9.52495,17.5178,59.4293
2302,36.9194,32.1663,9.52527,17.5198,59.4419
2303,36.9252,32.1731,9.52558,17.5218,59.4544
2304,36.9309,32.1797,9.52588,17.5238,59.4665
2305,36.9365,32.1862,9.52618,17.5257,59.4785
2306,36.942,32.1926,9.52647,17.5276,59.4902
2307,36.9474,32.1988,9.52676,17.5295,59.5016
2308,36.9527,32.205,9.52704,17.5313,59.5129
2309,36.9578,32.211,9.52732,17.533,59.5239
2310,36.9629,32.2169,9.52759,17.5348,59.5347
2311,36.9679,32.2226,9.52786,17.5365,59.5453
2312,36.9727,32.2283,9.52812,17.5382,59.5557
2313,36.9775,32.2339,9.52837,17.5398,59.5659
2314,36.9822,32.2393,9.52862,17.5414,59.5759
2315,36.9868,32.2446,9.52887,17.543,59.5856
2316,36.9913,32.2499,9.52911,17.5445,59.5952
2317,36.9957,32.255,9.52934,17.546,59.6046
2318,37,32.26,9.52957,17.5475,59.6139
2319,37.0042,32.2649,9.5298,17.549,59.6229
2320,37.0084,32.2698,9.53002,17.5504,59.6318
2321,37.0124,32.2745,9.53024,17.5518,59.6405
2322,37.0164,32.2791,9.53045,17.5532,59.649
2323,37.0203,32.2837,9.53066,17.5545,59.6573
2324,37.0242,32.2881,9.53087,17.5558,59.6655
2325,37.0279,32.2925,9.53107,17.5571,59.6735
2326,37.0316,32.2968,9.53126,17.5584,59.6814
2327,37.0352,32.301,9.53146,17.5596,59.6891
2328,37.0388,32.3051,9.53165,17.5608,59.6967
2329,37.0422,32.3091,9.53183,17.562,59.7041
2330,37.0456,32.3131,9.53201,17.5632,59.7113
2331,37.049,32.317,9.53219,17.5643,59.7184
2332,37.0522,32.3208,9.53237,17.5655,59.7254
2333,37.0554,32.3245,9.53254,17.5666,59.7323
2334,37.0586,32.3282,9.53271,17.5676,59.739
2335,37.0617,32.3318,9.53287,17.5687,59.7456
2336,37.0647,32.3353,9.53303,17.5697,59.752
2337,37.0676,32.3387,9.53319,17.5708,59.7583
2338,37.0705,32.3421,9.53334,17.5718,59.7645
2339,37.0734,32.3454,9.5335,17.5727,59.7706
2340,37.0762,32.3486,9.53365,17.5737,59.7765
2341,37.0789,32.3518,9.53379,17.5746,59.7824
2342,37.0816,32.3549,9.53393,17.5755,59.7881
2343,37.0842,32.358,9.53408,17.5764,59.7937
2344,37.0868,32.361,9.53421,17.5773,59.7992
2345,37.0893,32.3639,9.53435,17.5782,59.8046
2346,37.0918,32.3668,9.53448,17.579,59.8099
2347,37.0942,32.3696,9.53461,17.5799,59.815
2348,37.0966,32.3724,9.53474,17.5807,59.8201
2349,37.0989,32.3751,9.53486,17.5815,59.8251
