"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2204,86.768984107,148.3887484795,41.6066102724,59.907894579,345.9423126908
2205,86.8207103898,149.4186836152,41.9343680706,60.0771974713,347.7982660889
2206,86.8711385079,150.4481533035,42.2643244361,60.2449840503,349.6421473928
2207,86.920301536,151.4771109812,42.5964893539,60.4112628227,351.4739244722
2208,86.9682316846,152.5055103428,42.9308728881,60.5760423588,353.2935680533
2209,87.0149603224,153.5333053511,43.2674851801,60.7393312895,355.1010516714
2210,87.0605180002,154.560450247,43.6063364472,60.9011383042,356.8963516228
2211,87.1049344723,155.5868995599,43.9474369802,61.061472147,358.6794469166
2212,87.1482387184,156.6126081163,44.2907971422,61.2203416148,360.4503192274
2213,87.1904589644,157.6375310493,44.6364273665,61.377755554,362.2089528463
2214,87.231622703,158.6616238073,44.9843381555,61.5337228581,363.9553346333
2215,87.2717567131,159.6848421619,45.3345400788,61.6882524649,365.689453969
2216,87.3108870792,160.7071422162,45.687043772,61.8413533538,367.4113027063
2217,87.3490392101,161.7284804126,46.0418599353,61.9930345435,369.1208751228
2218,87.386237857,162.7488135394,46.3989993318,62.1433050891,370.8181678724
2219,87.422507131,163.7680987388,46.7584727867,62.29217408,372.5031799376
2220,87.4578705206,164.7862935128,47.120291186,62.4396506367,374.1759125822
2221,87.492350908,165.8033557298,47.4844654748,62.5857439092,375.8363693032
2222,87.5259705854,166.8192436309,47.851006657,62.7304630742,377.484555784
2223,87.5587512708,167.8339158356,48.2199257934,62.8738173327,379.120479847
2224,87.5907141233,168.8473313471,48.5912340011,63.0158159076,380.744151407
2225,87.6218797579,169.8594495578,48.9649424526,63.1564680417,382.3555824246
2226,87.6522682599,170.8702302542,49.3410623744,63.2957829956,383.9547868599
2227,87.6818991992,171.8796336216,49.7196050465,63.4337700447,385.5417806266
2228,87.7107916435,172.8876202486,50.100581801,63.5704384781,387.1165815463
2229,87.7389641722,173.8941511312,50.4840040218,63.7057975957,388.6792093033
2230,87.7664348889,174.8991876768,50.8698831436,63.8398567065,390.2296853997
2231,87.7932214339,175.9026917081,51.2582306508,63.9726251264,391.7680331109
2232,87.8193409967,176.9046254664,51.649058077,64.1041121765,393.2942774411
2233,87.8448103278,177.9049516147,52.0423770043,64.2343271807,394.8084450801
2234,87.8696457499,178.9036332412,52.4381990625,64.3632794643,396.3105643598
2235,87.8938631697,179.9006338618,52.8365359285,64.4909783517,397.8006652109
2236,87.9174780883,180.8959174227,53.2373993254,64.6174331649,399.2787791211
2237,87.9405056123,181.889448303,53.6408010221,64.7426532214,400.7449390928
2238,87.9629604636,182.8811913169,54.0467528328,64.8666478329,402.1991796016
2239,87.9848569899,183.8711117153,54.455266616,64.9894263032,403.6415365551
2240,88.0062091742,184.8591751885,54.8663542743,65.1109979267,405.0720472527
2241,88.0270306444,185.8453478667,55.2800277538,65.2313719869,406.4907503452
2242,88.0473346826,186.8295963226,55.6962990434,65.3505577546,407.8976857955
2243,88.067134234,187.8118875719,56.1151801744,65.4685644865,409.2928948393
2244,88.0864419158,188.7921890747,56.5366832202,65.5854014235,410.6764199466
2245,88.1052700255,189.7704687366,56.9608202952,65.7010777898,412.0483047838
2246,88.1236305493,190.746694909,57.3876035553,65.8156027907,413.408594176
2247,88.1415351702,191.7208363904,57.8170451966,65.9289856118,414.7573340702
2248,88.1589952759,192.6928624265,58.2491574554,66.0412354173,416.0945714986
2249,88.1760219663,193.6627427105,58.6839526078,66.152361349,417.4203545429
2250,88.1926260607,194.6304473834,59.121442969,66.2623725247,418.7347322986
2251,88.2088181058,195.5959470341,59.5616408934,66.3712780375,420.0377548408
2252,88.2246083818,196.5592126993,60.0045587736,66.4790869537,421.329473189
2253,88.24000691,197.520215863,60.4502090407,66.5858083125,422.609939274
2254,88.255023459,198.4789284568,60.8986041635,66.6914511245,423.8792059043
2255,88.2696675513,199.4353228587,61.3497566482,66.7960243707,425.1373267336
2256,88.2839484699,200.389371893,61.8036790383,66.8995370012,426.3843562288
2257,88.297875264,201.3410488293,62.2603839142,67.0019979344,427.6203496378
2258,88.3114567553,202.290327382,62.7198838926,67.1034160561,428.8453629592
2259,88.3247015437,203.2371817092,63.1821916267,67.2038002182,430.0594529111
2260,88.3376180129,204.1815864114,63.6473198056,67.303159238,431.2626769016
2261,88.3502143363,205.1235165309,64.1152811538,67.4015018975,432.4550929994
2262,88.3624984817,206.0629475502,64.5860884316,67.4988369419,433.6367599042
2263,88.3744782174,206.9998553906,65.0597544341,67.5951730794,434.8077369191
