,rcp26,rcp45,rcp60,rcp85
1998,0.09258375,0.09258375,0.09258375,0.09258375
1999,0.14625187,0.14625187,0.14625187,0.14625187
2000,0.18119062,0.18119062,0.18119062,0.18119062
2001,0.19056187,0.19056187,0.19056187,0.19056187
2002,0.17415125,0.17415125,0.17415125,0.17415125
2003,0.13018687,0.13018687,0.13018687,0.13018687
2004,0.086078125,0.086078125,0.086078125,0.086078125
2005,0.059268125,0.059268125,0.059268125,0.059268125
2006,0.043176875,0.043176875,0.043176875,0.043176875
2007,0.032265625,0.032265625,0.032265625,0.032265625
2008,0.025655,0.025655,0.025655,0.025655
2009,0.07252875,0.07252875,0.07252875,0.07252875
2010,0.14625187,0.14625187,0.14625187,0.14625187
2011,0.18119062,0.18119062,0.18119062,0.18119062
2012,0.19056187,0.19056187,0.19056187,0.19056187
2013,0.17415125,0.17415125,0.17415125,0.17415125
2014,0.13018687,0.13018687,0.13018687,0.13018687
2015,0.086078125,0.086078125,0.086078125,0.086078125
2016,0.059268125,0.059268125,0.059268125,0.059268125
2017,0.043176875,0.043176875,0.043176875,0.043176875
2018,0.032265625,0.032265625,0.032265625,0.032265625
2019,0.025655,0.025655,0.025655,0.025655
2020,0.07252875,0.07252875,0.07252875,0.07252875
2021,0.14625187,0.14625187,0.14625187,0.14625187
2022,0.18119062,0.18119062,0.18119062,0.18119062
2023,0.19056187,0.19056187,0.19056187,0.19056187
2024,0.17415125,0.17415125,0.17415125,0.17415125
2025,0.13018687,0.13018687,0.13018687,0.13018687
2026,0.086078125,0.086078125,0.086078125,0.086078125
2027,0.059268125,0.059268125,0.059268125,0.059268125
2028,0.043176875,0.043176875,0.043176875,0.043176875
2029,0.032265625,0.032265625,0.032265625,0.032265625
2030,0.025655,0.025655,0.025655,0.025655
2031,0.07252875,0.07252875,0.07252875,0.07252875
2032,0.14625187,0.14625187,0.14625187,0.14625187
2033,0.18119062,0.18119062,0.18119062,0.18119062
2034,0.19056187,0.19056187,0.19056187,0.19056187
2035,0.17415125,0.17415125,0.17415125,0.17415125
2036,0.13018687,0.13018687,0.13018687,0.13018687
2037,0.086078125,0.086078125,0.086078125,0.086078125
2038,0.059268125,0.059268125,0.059268125,0.059268125
2039,0.043176875,0.043176875,0.043176875,0.043176875
2040,0.032265625,0.032265625,0.032265625,0.032265625
2041,0.025655,0.025655,0.025655,0.025655
2042,0.07252875,0.07252875,0.07252875,0.07252875
2043,0.14625187,0.14625187,0.14625187,0.14625187
2044,0.18119062,0.18119062,0.18119062,0.18119062
2045,0.19056187,0.19056187,0.19056187,0.19056187
2046,0.17415125,0.17415125,0.17415125,0.17415125
2047,0.13018687,0.13018687,0.13018687,0.13018687
2048,0.086078125,0.086078125,0.086078125,0.086078125
2049,0.059268125,0.059268125,0.059268125,0.059268125
2050,0.043176875,0.043176875,0.043176875,0.043176875
2051,0.032265625,0.032265625,0.032265625,0.032265625
2052,0.025655,0.025655,0.025655,0.025655
2053,0.07252875,0.07252875,0.07252875,0.07252875
2054,0.14625187,0.14625187,0.14625187,0.14625187
2055,0.18119062,0.18119062,0.18119062,0.18119062
2056,0.19056187,0.19056187,0.19056187,0.19056187
2057,0.17415125,0.17415125,0.17415125,0.17415125
2058,0.13018687,0.13018687,0.13018687,0.13018687
2059,0.086078125,0.086078125,0.086078125,0.086078125
2060,0.059268125,0.059268125,0.059268125,0.059268125
2061,0.043176875,0.043176875,0.043176875,0.043176875
2062,0.032265625,0.032265625,0.032265625,0.032265625
2063,0.025655,0.025655,0.025655,0.025655
2064,0.07252875,0.07252875,0.07252875,0.07252875
2065,0.14625187,0.14625187,0.14625187,0.14625187
2066,0.18119062,0.18119062,0.18119062,0.18119062
2067,0.19056187,0.19056187,0.19056187,0.19056187
2068,0.17415125,0.17415125,0.17415125,0.17415125
2069,0.13018687,0.13018687,0.13018687,0.13018687
2070,0.086078125,0.086078125,0.086078125,0.086078125
2071,0.059268125,0.059268125,0.059268125,0.059268125
2072,0.043176875,0.043176875,0.043176875,0.043176875
2073,0.032265625,0.032265625,0.032265625,0.032265625
2074,0.025655,0.025655,0.025655,0.025655
2075,0.07252875,0.07252875,0.07252875,0.07252875
2076,0.14625187,0.14625187,0.14625187,0.14625187
2077,0.18119062,0.18119062,0.18119062,0.18119062
2078,0.19056187,0.19056187,0.19056187,0.19056187
2079,0.17415125,0.17415125,0.17415125,0.17415125
2080,0.13018687,0.13018687,0.13018687,0.13018687
2081,0.086078125,0.086078125,0.086078125,0.086078125
2082,0.059268125,0.059268125,0.059268125,0.059268125
2083,0.043176875,0.043176875,0.043176875,0.043176875
2084,0.032265625,0.032265625,0.032265625,0.032265625
2085,0.025655,0.025655,0.025655,0.025655
2086,0.07252875,0.07252875,0.07252875,0.07252875
2087,0.14625187,0.14625187,0.14625187,0.14625187
2088,0.18119062,0.18119062,0.18119062,0.18119062
2089,0.19056187,0.19056187,0.19056187,0.19056187
2090,0.17415125,0.17415125,0.17415125,0.17415125
2091,0.13018687,0.13018687,0.13018687,0.13018687
2092,0.086078125,0.086078125,0.086078125,0.086078125
2093,0.059268125,0.059268125,0.059268125,0.059268125
2094,0.043176875,0.043176875,0.043176875,0.043176875
2095,0.032265625,0.032265625,0.032265625,0.032265625
2096,0.025655,0.025655,0.025655,0.025655
2097,0.07252875,0.07252875,0.07252875,0.07252875
2098,0.14625187,0.14625187,0.14625187,0.14625187
2099,0.18119062,0.18119062,0.18119062,0.18119062
2100,0.19056187,0.19056187,0.19056187,0.19056187
2101,0.17415125,0.17415125,0.17415125,0.17415125
2102,0.13018687,0.13018687,0.13018687,0.13018687
2103,0.086078125,0.086078125,0.086078125,0.086078125
2104,0.059268125,0.059268125,0.059268125,0.059268125
2105,0.043176875,0.043176875,0.043176875,0.043176875
2106,0.032265625,0.032265625,0.032265625,0.032265625
2107,0.025655,0.025655,0.025655,0.025655
2108,0.07252875,0.07252875,0.07252875,0.07252875
2109,0.14625187,0.14625187,0.14625187,0.14625187
2110,0.18119062,0.18119062,0.18119062,0.18119062
2111,0.19056187,0.19056187,0.19056187,0.19056187
2112,0.17415125,0.17415125,0.17415125,0.17415125
2113,0.13018687,0.13018687,0.13018687,0.13018687
2114,0.086078125,0.086078125,0.086078125,0.086078125
2115,0.059268125,0.059268125,0.059268125,0.059268125
2116,0.043176875,0.043176875,0.043176875,0.043176875
2117,0.032265625,0.032265625,0.032265625,0.032265625
2118,0.025655,0.025655,0.025655,0.025655
2119,0.07252875,0.07252875,0.07252875,0.07252875
2120,0.14625187,0.14625187,0.14625187,0.14625187
2121,0.18119062,0.18119062,0.18119062,0.18119062
2122,0.19056187,0.19056187,0.19056187,0.19056187
2123,0.17415125,0.17415125,0.17415125,0.17415125
2124,0.13018687,0.13018687,0.13018687,0.13018687
2125,0.086078125,0.086078125,0.086078125,0.086078125
2126,0.059268125,0.059268125,0.059268125,0.059268125
2127,0.043176875,0.043176875,0.043176875,0.043176875
2128,0.032265625,0.032265625,0.032265625,0.032265625
2129,0.025655,0.025655,0.025655,0.025655
2130,0.07252875,0.07252875,0.07252875,0.07252875
2131,0.14625187,0.14625187,0.14625187,0.14625187
2132,0.18119062,0.18119062,0.18119062,0.18119062
2133,0.19056187,0.19056187,0.19056187,0.19056187
2134,0.17415125,0.17415125,0.17415125,0.17415125
2135,0.13018687,0.13018687,0.13018687,0.13018687
2136,0.086078125,0.086078125,0.086078125,0.086078125
2137,0.059268125,0.059268125,0.059268125,0.059268125
2138,0.043176875,0.043176875,0.043176875,0.043176875
2139,0.032265625,0.032265625,0.032265625,0.032265625
2140,0.025655,0.025655,0.025655,0.025655
2141,0.07252875,0.07252875,0.07252875,0.07252875
2142,0.14625187,0.14625187,0.14625187,0.14625187
2143,0.18119062,0.18119062,0.18119062,0.18119062
2144,0.19056187,0.19056187,0.19056187,0.19056187
2145,0.17415125,0.17415125,0.17415125,0.17415125
2146,0.13018687,0.13018687,0.13018687,0.13018687
2147,0.086078125,0.086078125,0.086078125,0.086078125
2148,0.059268125,0.059268125,0.059268125,0.059268125
2149,0.043176875,0.076321079,0.076321079,0.043176875
2150,0.032265625,0.10375591,0.10375591,0.032265625
2151,0.025655,0.10375591,0.10375591,0.025655
2152,0.07252875,0.10375591,0.10375591,0.07252875
2153,0.14625187,0.10375591,0.10375591,0.14625187
2154,0.18119062,0.10375591,0.10375591,0.18119062
2155,0.19056187,0.10375591,0.10375591,0.19056187
2156,0.17415125,0.10375591,0.10375591,0.17415125
2157,0.13018687,0.10375591,0.10375591,0.13018687
2158,0.086078125,0.10375591,0.10375591,0.086078125
2159,0.059268125,0.10375591,0.10375591,0.059268125
2160,0.043176875,0.10375591,0.10375591,0.043176875
2161,0.032265625,0.10375591,0.10375591,0.032265625
2162,0.025655,0.10375591,0.10375591,0.025655
2163,0.07252875,0.10375591,0.10375591,0.07252875
2164,0.14625187,0.10375591,0.10375591,0.14625187
2165,0.18119062,0.10375591,0.10375591,0.18119062
2166,0.19056187,0.10375591,0.10375591,0.19056187
2167,0.17415125,0.10375591,0.10375591,0.17415125
2168,0.13018687,0.10375591,0.10375591,0.13018687
2169,0.086078125,0.10375591,0.10375591,0.086078125
2170,0.059268125,0.10375591,0.10375591,0.059268125
2171,0.043176875,0.10375591,0.10375591,0.043176875
2172,0.032265625,0.10375591,0.10375591,0.032265625
2173,0.025655,0.10375591,0.10375591,0.025655
2174,0.07252875,0.10375591,0.10375591,0.07252875
2175,0.14625187,0.10375591,0.10375591,0.14625187
2176,0.18119062,0.10375591,0.10375591,0.18119062
