"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1920,-0.10218327,-0.035575942,-0.0096732368,-0.045595958,-0.021209289,-0.028984846,0.079192225,0.075562328
1921,-0.10350877,-0.035228845,-0.0098941487,-0.045935781,-0.018335809,-0.031983095,0.084939336,0.083414768
1922,-0.1049036,-0.034919989,-0.010130591,-0.046313957,-0.018676118,-0.031685525,0.082972975,0.082434084
1923,-0.10634527,-0.034639527,-0.010379356,-0.046720295,-0.021015533,-0.032091839,0.077049028,0.083483777
1924,-0.10781156,-0.034378543,-0.010637178,-0.047144872,-0.021000299,-0.03238321,0.07974671,0.084226762
1925,-0.1092805,-0.034128949,-0.010900732,-0.047578024,-0.021097639,-0.032532455,0.080624914,0.084578314
1926,-0.11127905,-0.034057389,-0.011162592,-0.047997672,-0.020643691,-0.032769591,0.081706648,0.085193297
1927,-0.11323424,-0.033975815,-0.011423295,-0.048407409,-0.02144276,-0.034635236,0.081709904,0.090447603
1928,-0.11512401,-0.033878396,-0.011679367,-0.048798305,-0.020786998,-0.034785212,0.081112022,0.090820307
1929,-0.11692607,-0.033759704,-0.011927294,-0.049161677,-0.021420869,-0.034797254,0.080355507,0.090803245
1930,-0.11863057,-0.033525883,-0.012167925,-0.049467649,-0.019126971,-0.034977153,0.080294349,0.091265542
1931,-0.12020553,-0.033177324,-0.012397544,-0.049706898,-0.016522708,-0.036479303,0.081240959,0.094865902
1932,-0.12164801,-0.032811321,-0.012613447,-0.049907446,-0.014495121,-0.036528287,0.082181104,0.094867465
1933,-0.12299772,-0.03243782,-0.012820526,-0.050083201,-0.015097051,-0.036474882,0.083026182,0.094602463
1934,-0.12429482,-0.032065803,-0.013023762,-0.050247575,-0.015942369,-0.035945667,0.083099803,0.092998958
1935,-0.12557987,-0.031703362,-0.013228228,-0.050413501,-0.01642424,-0.035851171,0.084092233,0.092643375
1936,-0.1268938,-0.031357771,-0.013439085,-0.050593446,-0.017509278,-0.036245018,0.084633051,0.093701583
1937,-0.12827788,-0.031035551,-0.013661579,-0.050799428,-0.018366792,-0.035169917,0.088670394,0.090582075
1938,-0.12977372,-0.030742523,-0.013901038,-0.051043023,-0.017183288,-0.035296891,0.097902603,0.090889293
1939,-0.13142318,-0.030483867,-0.014162875,-0.051335384,-0.017532246,-0.035163684,0.097836824,0.090460173
1940,-0.13326402,-0.03029543,-0.0145271,-0.051324914,-0.018399683,-0.034517669,0.096940323,0.088572549
1941,-0.13540805,-0.030194015,-0.015003615,-0.051064878,-0.018801636,-0.036898894,0.096527477,0.093110371
1942,-0.13793052,-0.030159646,-0.015526592,-0.050935504,-0.018241448,-0.038428662,0.09633357,0.097101829
1943,-0.14081231,-0.030186756,-0.016094015,-0.05092209,-0.018542379,-0.038627012,0.097677055,0.097387805
1944,-0.14403405,-0.030270038,-0.016703526,-0.051011648,-0.018064418,-0.039261227,0.096186067,0.098968975
1945,-0.14757618,-0.030404439,-0.017352466,-0.051192654,-0.015124367,-0.03967467,0.090208997,0.099961214
1946,-0.15141894,-0.030585157,-0.018037927,-0.051454835,-0.015445278,-0.043712768,0.090462536,0.11134478
1947,-0.15554236,-0.030807633,-0.01875678,-0.051789003,-0.01685089,-0.044831505,0.089210082,0.11443448
1948,-0.15992633,-0.031067551,-0.019505709,-0.052186898,-0.017264918,-0.045678085,0.086233778,0.11676255
1949,-0.16455055,-0.031360827,-0.020281236,-0.052641075,-0.016585941,-0.046130578,0.088819481,0.11797746
1950,-0.16945077,-0.031286917,-0.021170002,-0.052705914,-0.019044749,-0.046795676,0.090254204,0.11980499
1951,-0.1737289,-0.03070716,-0.022215735,-0.052477902,-0.019854661,-0.065882867,0.090944612,0.16605898
1952,-0.17886116,-0.030350233,-0.02336949,-0.052461384,-0.019728646,-0.070702751,0.088665112,0.17791817
1953,-0.18473144,-0.030166649,-0.024620549,-0.052605214,-0.019394074,-0.072276562,0.085286174,0.18091424
1954,-0.19122844,-0.030116082,-0.025957059,-0.052863966,-0.019280226,-0.075406348,0.084495945,0.18923506
1955,-0.19824468,-0.030165189,-0.027366183,-0.053197208,-0.020518167,-0.078095595,0.088294055,0.19646449
1956,-0.20567571,-0.030286037,-0.028834211,-0.053568882,-0.02121063,-0.081071081,0.089833809,0.20468488
1957,-0.21341954,-0.03045494,-0.030346671,-0.05394678,-0.021514025,-0.082472892,0.090407367,0.20849982
1958,-0.22137621,-0.030651593,-0.031888412,-0.054302092,-0.021504922,-0.083780119,0.095790346,0.21209975
1959,-0.22944744,-0.030858407,-0.033443684,-0.054609017,-0.022099018,-0.079153801,0.1036068,0.19884201
1960,-0.23751881,-0.031183585,-0.034866104,-0.055477012,-0.02258264,-0.078361565,0.11050373,0.19652929
1961,-0.24250743,-0.031266833,-0.036178723,-0.05697282,-0.022051354,-0.088947075,0.10157544,0.22160967
1962,-0.24839595,-0.031471835,-0.037547164,-0.058523684,-0.022187236,-0.090474661,0.10113138,0.2252047
1963,-0.25492398,-0.031761073,-0.038964632,-0.060124988,-0.022483723,-0.092040576,0.10268792,0.22910983
1964,-0.26185056,-0.032102111,-0.040424324,-0.061772162,-0.023136095,-0.093704633,0.10607146,0.23343079
1965,-0.26895056,-0.032466593,-0.041919423,-0.063460679,-0.023602126,-0.095021184,0.11120947,0.23684749
1966,-0.27601192,-0.032829475,-0.043443107,-0.065186044,-0.024090603,-0.096983008,0.11529468,0.2422744
1967,-0.28283336,-0.033168407,-0.044988549,-0.066943793,-0.024290497,-0.097257108,0.11467174,0.24293594
1968,-0.28922266,-0.033463263,-0.046548914,-0.068729485,-0.025016981,-0.098046069,0.11892772,0.24509557
1969,-0.29499513,-0.03369575,-0.048117364,-0.0705387,-0.025936026,-0.0986013,0.12734288,0.24664551
1970,-0.29988512,-0.03446584,-0.049783465,-0.071898276,-0.027188412,-0.097646851,0.14452989,0.24391498
1971,-0.30823885,-0.036254654,-0.051621586,-0.072909034,-0.027830825,-0.091897209,0.15515659,0.22775692
1972,-0.31638008,-0.038067318,-0.053546286,-0.074046941,-0.028422978,-0.089401549,0.15474134,0.22147325
1973,-0.32429707,-0.039900323,-0.055530083,-0.075272854,-0.029415465,-0.090108062,0.1584443,0.22425194
1974,-0.33197819,-0.041750067,-0.057544998,-0.07654968,-0.029123989,-0.090204534,0.15760637,0.22458088
1975,-0.33941197,-0.043612855,-0.059562622,-0.077842104,-0.028572639,-0.090538197,0.1557811,0.22556309
1976,-0.34658705,-0.045484893,-0.061554174,-0.079116351,-0.02981489,-0.097151523,0.15593586,0.24452042
